Tracker,Number,Start Date,Time,Related to,Detail,Priority,End Date,Status
Change Request,01-5024,1-Jan-2023,,,แจ้งดำเนินการแก้ไขข้อมูล user agent (Back Office Web),LOW,4-Jan-2023,Completed
Change Request,02-5304,1-Feb-2023,,,แจ้งดำเนินการแก้ไข Wallet status ของลูกค้า 2 ราย เป็น Close,LOW,5-Jan-2023,Completed
Change Request,03-5043,1-Mar-2023,,,แจ้งดำเนินการแก้ไข Wallet status ของลูกค้า 1 ราย เป็น Close,LOW,5-Jan-2023,Completed
Change Request,04-4997,21-Dec-2022,,,แจ้งขอแก้ไขระบบเป็นการเร่งด่วนเพื่อแก้ปัญหา notification ไม่ redirect ไปยัง TMDS [Target Date : 21/12/2022],LOW,21-Dec-2022,Completed
Change Request,05-5023,5-Jan-2023,,,แจ้งสร้าง Dummy Wallet และ Wallet ID เพื่อใช้งานกับตลาดบุญเรือง,LOW,6-Jan-2023,Completed
Customer Inquiry,5056,5-Jan-2023,,,แจ้งตรวจสอบรายการ Online Bill Payment รายการสำเร็จ แต่ไม่หักเงิน wallet,LOW,6-Jan-2023,Completed
Change Request,06-5035,6-Jan-2023,,,แจ้งขอแก้ไขรายละเอียดข้อกำหนดและเงื่อนไขการใช้บริการสำหรับร้านค้ารับชำระผ่าน MicroPay,LOW,6-Jan-2023,Completed
Change Request,07-5095,19-Jan-2023,,Deploy,ขึ้นระบบ Wallet status (ส่งเอกสารแล้ว),LOW,19-Jan-2023,Completed
DeployDR,,26-Jan-2023,,DeployDR,DeployDR ขึ้นระบบ Wallet status,LOW,26-Jan-2023,Completed
Change Request,08-6090,,,,แจ้งดำเนินการแก้ไข Wallet status ของลูกค้า 1 ราย เป็น Close,LOW,18-Jan-2023,Completed
Customer Inquiry,5155,25-Jan-2023,,,"แจ้งตรวจสอบ status wallet เนื่องจากยังไม่ผ่าน KYC แต่มี Status Suspend
TMDS ตรวจพบ wallet ลูกค้า 1 รายที่ status ผิดปกติ โดยมีรายละเอียดตามภาพด้านล่างค่ะ 
ซึ่งดูจาก Previous Status เป็น Pending แสดงว่าลูกค้ายังไม่ผ่าน KYC แต่ทำไม status 
ปัจจุบันเป็น Suspend ซึ่งตาม flow ปกติ จะไม่สามารถเป็น status นี้ได้
ดังนั้นจึงรบกวนดำเนินการตรวจสอบให้ด้วยค่ะว่าเกิดจากสาเหตุใด",LOW,30-Jan-2023,Completed
